Week Start Date,Agency,Final Incident Type,# of Incidents Calculated,Call to First Pickup,Call to PD Calltaker Handoff,Call to FDNY Pickup,Call to FDNY Job Creation,Call to EMS Pickup,Call to Agency Job Creation,Call to Agency Dispatch,Call to Agency Arrival,Call to First Arrival (Multi-Agency Incidents),Median Pickup,Median Calltaker Handoff,Median FDNY Pickup,Median FDNY Job Creation,Median Ems Pickup,Median Ems Job Creation,Median Dispatch,Median Travel,Median Cumulative First Arrival  (Multi-Agency Incidents),Average Travel,Average Dispatch,Average EMS Processing,Average EMS Pickup,Average Calltaker Processing,Average Pickup,Average FD Pickup,Average FD Processing
01/27/2014,FDNY,3. Medical Emergencies,2591,3.25,144.04,,,67.13,140.89,168.71,431.37,394.49,3,108,,,5,47,8,244,369,4.38,0.41,1.24,0.09,2.35,0.05,,
01/27/2014,FDNY,4. Non-Medical Emergencies,2865,3.27,142.89,,,,,160.79,464.00,445.36,3,80,,,,,13,267,387,5.05,0.30,,,2.33,0.05,,
01/27/2014,NYPD,1. Critical,988,3.19,123.46,,,,,244.07,454.00,446.32,3,84,,,,,78,139,348,3.50,2.01,,,2.00,0.05,,
01/27/2014,NYPD,2. Serious,1784,3.23,140.01,,,,,275.17,546.24,527.50,3,100,,,,,91,187,438,4.52,2.25,,,2.28,0.05,,
01/27/2014,NYPD,3. Non-Critical,1871,3.34,172.43,,,,,404.41,857.11,854.82,3,130,,,,,122,299,649,7.55,3.87,,,2.82,0.06,,
01/27/2014,NYPD (Non-CIP),Alarms,2313,3.20,143.53,,,,,922.79,1785.41,1785.41,3,107,,,,,286,553,1163,14.38,12.99,,,2.34,0.05,,
01/27/2014,NYPD (Non-CIP),Disorderly Person/Group/Noise,779,3.22,185.03,,,,,994.22,1651.68,1647.80,3,150,,,,,221,386,994,10.96,13.49,,,3.03,0.05,,
01/27/2014,NYPD (Non-CIP),Dispute,4915,3.23,185.66,,,,,1217.95,2110.06,2101.24,3,149,,,,,300,529,1302,14.87,17.20,,,3.04,0.05,,
01/27/2014,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,345,3.22,146.48,,,,,331.31,1626.41,632.33,3,103,,,,,82,826,395,21.59,3.08,,,2.39,0.05,,
01/27/2014,NYPD (Non-CIP),Other Crimes (In Progress),988,3.29,180.77,,,,,459.48,935.97,931.85,3,152,,,,,131.5,320.5,710,7.94,4.65,,,2.96,0.05,,
01/27/2014,NYPD (Non-CIP),Past Crime,2949,3.13,205.59,,,,,1515.36,2811.42,2761.71,3,167,,,,,442,786,1845,21.60,21.83,,,3.37,0.05,,
01/27/2014,NYPD (Non-CIP),Police Officer/Security Holding Suspect,189,3.11,122.94,,,,,446.40,1235.61,1235.61,3,93,,,,,170,440,803,13.15,5.39,,,2.00,0.05,,
01/27/2014,NYPD (Non-CIP),Possible Crimes,5090,3.22,174.16,,,,,1084.14,1999.86,1944.79,3,135,,,,,276,527,1170.5,15.26,15.17,,,2.85,0.05,,
01/27/2014,NYPD (Non-CIP),Vehicle Accident,2824,3.01,187.51,,,,,1383.82,2702.90,2682.41,3,146,,,,,445,898.5,1968.5,21.98,19.94,,,3.08,0.05,,
01/20/2014,EMS,1. Life Threating Med Emergencies,7126,3.14,57.93,,,63.12,151.95,194.55,596.34,531.57,3,73.75,,,10.5,42.5,87,366,472.75,6.70,1.58,0.88,0.11,0.92,0.05,,
01/20/2014,EMS,2. Non-Life Threatening Med Emergencies,11451,3.18,67.75,,,73.27,125.34,321.15,882.20,800.66,3,81.5,,,10.5,43.5,98,482.75,627.5,9.35,3.31,0.35,0.12,1.08,0.05,,
01/20/2014,FDNY,1. Structural Fires,334,3.12,92.61,,,,,106.86,319.67,313.31,3,59.5,,,,,11,204.5,288.5,3.55,0.24,,,1.49,0.05,,
01/20/2014,FDNY,2. Non-Structural Fires,464,3.24,108.94,,,,,123.08,371.31,364.82,3,65,,,,,11,241,330,4.14,0.24,,,1.76,0.05,,
01/20/2014,FDNY,3. Medical Emergencies,2557,3.11,172.85,,,67.23,169.15,207.73,479.75,431.57,3,112,,,5,52,8,254,384,4.53,0.58,1.72,0.09,2.83,0.05,,
01/20/2014,FDNY,4. Non-Medical Emergencies,2994,3.11,148.55,,,,,166.72,495.11,476.48,3,78,,,,,14,283,401.5,5.47,0.30,,,2.42,0.05,,
01/20/2014,NYPD,1. Critical,858,3.14,128.75,,,,,236.08,426.69,413.60,3,89,,,,,72,142,347,3.18,1.79,,,2.09,0.05,,
01/20/2014,NYPD,2. Serious,1490,3.16,135.96,,,,,253.55,524.76,512.82,3,98,,,,,83,191.5,427,4.52,1.96,,,2.21,0.05,,
01/20/2014,NYPD,3. Non-Critical,1537,3.29,182.88,,,,,381.66,862.84,857.00,3,143,,,,,111,329,670,8.02,3.31,,,2.99,0.05,,
01/20/2014,NYPD (Non-CIP),Alarms,3091,3.24,138.31,,,,,733.55,1611.34,1611.27,3,102,,,,,247,546,1091,14.63,9.92,,,2.25,0.05,,
01/20/2014,NYPD (Non-CIP),Disorderly Person/Group/Noise,767,3.19,186.76,,,,,818.20,1466.15,1457.54,3,148,,,,,225,379,979,10.80,10.52,,,3.06,0.05,,
01/20/2014,NYPD (Non-CIP),Dispute,4712,3.18,182.25,,,,,943.46,1814.11,1806.02,3,146,,,,,229,534,1171.5,14.51,12.69,,,2.98,0.05,,
01/20/2014,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,284,3.11,147.14,,,,,329.35,1535.80,596.27,3,97,,,,,77.5,749.5,401.5,20.11,3.04,,,2.40,0.05,,
01/20/2014,NYPD (Non-CIP),Other Crimes (In Progress),836,3.12,179.51,,,,,389.88,914.66,913.88,3,148,,,,,116,350,691,8.75,3.51,,,2.94,0.05,,
01/20/2014,NYPD (Non-CIP),Past Crime,2605,3.00,208.10,,,,,1180.18,2476.69,2442.23,3,173,,,,,298,807,1678,21.61,16.20,,,3.42,0.05,,
01/20/2014,NYPD (Non-CIP),Police Officer/Security Holding Suspect,187,3.15,131.66,,,,,482.48,1233.95,1233.95,3,94,,,,,140,399,765,12.52,5.85,,,2.14,0.05,,
01/20/2014,NYPD (Non-CIP),Possible Crimes,4922,3.16,176.86,,,,,936.27,1825.79,1763.25,3,135,,,,,235,557,1128.5,14.83,12.66,,,2.89,0.05,,
01/20/2014,NYPD (Non-CIP),Vehicle Accident,3202,3.16,182.53,,,,,1365.34,2824.74,2801.81,3,143,,,,,420.5,1009,1997.5,24.32,19.71,,,2.99,0.05,,
01/13/2014,EMS,1. Life Threating Med Emergencies,7535,3.09,54.78,,,59.61,156.50,198.37,572.52,511.97,3,68,,,10,43,85,339.5,441.5,6.24,1.59,0.93,0.10,0.87,0.05,,
01/13/2014,EMS,2. Non-Life Threatening Med Emergencies,11773,3.09,66.28,,,71.89,152.35,287.58,797.24,724.92,3,78.5,,,10,46,96.75,450.5,602.5,8.49,2.75,0.70,0.12,1.06,0.05,,
01/13/2014,FDNY,1. Structural Fires,299,3.18,95.29,,,,,107.73,304.80,301.32,3,59,,,,,10,196,277,3.28,0.21,,,1.54,0.05,,
01/13/2014,FDNY,2. Non-Structural Fires,172,3.05,82.46,,,,,96.82,342.24,339.74,3,55.5,,,,,11,236,322,4.09,0.24,,,1.32,0.05,,
01/13/2014,FDNY,3. Medical Emergencies,2756,3.09,148.51,,,65.42,145.30,171.20,427.59,394.21,3,111,,,5,50,8,242,371,4.27,0.38,1.33,0.09,2.42,0.05,,
01/13/2014,FDNY,4. Non-Medical Emergencies,2258,3.12,154.75,,,,,171.72,466.01,442.68,3,82,,,,,13,255,375,4.90,0.28,,,2.53,0.05,,
01/13/2014,NYPD,1. Critical,1059,3.15,134.59,,,,,251.07,454.05,444.09,3,90,,,,,75,140,360,3.38,1.94,,,2.19,0.05,,
01/13/2014,NYPD,2. Serious,1853,3.13,136.59,,,,,275.81,542.57,524.29,3,95,,,,,90,173,425,4.45,2.32,,,2.22,0.05,,
01/13/2014,NYPD,3. Non-Critical,1873,3.10,174.58,,,,,381.70,822.95,817.04,3,135,,,,,120,286,625,7.35,3.45,,,2.86,0.05,,
01/13/2014,NYPD (Non-CIP),Alarms,2359,3.13,136.95,,,,,743.46,1640.84,1639.32,3,102,,,,,251,560,1132,14.96,10.11,,,2.23,0.05,,
01/13/2014,NYPD (Non-CIP),Disorderly Person/Group/Noise,872,3.14,173.47,,,,,888.89,1453.27,1439.17,3,137.5,,,,,231,366,896,9.41,11.92,,,2.84,0.05,,
01/13/2014,NYPD (Non-CIP),Dispute,4880,3.15,183.38,,,,,1104.89,1905.53,1894.39,3,143,,,,,264,495,1174,13.34,15.36,,,3.00,0.05,,
01/13/2014,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,312,3.20,140.11,,,,,298.96,1424.62,571.74,3,96,,,,,86.5,712.5,378.5,18.76,2.65,,,2.28,0.05,,
01/13/2014,NYPD (Non-CIP),Other Crimes (In Progress),909,3.18,183.67,,,,,416.08,889.72,889.32,3,150,,,,,119,315,670,7.89,3.87,,,3.01,0.05,,
01/13/2014,NYPD (Non-CIP),Past Crime,3119,3.00,207.15,,,,,1300.73,2546.25,2515.17,3,169,,,,,342,765,1668,20.76,18.23,,,3.40,0.05,,
01/13/2014,NYPD (Non-CIP),Police Officer/Security Holding Suspect,214,3.14,117.63,,,,,487.36,1206.35,1206.35,3,86,,,,,141.5,452.5,786,11.98,6.16,,,1.91,0.05,,
01/13/2014,NYPD (Non-CIP),Possible Crimes,5293,3.15,178.02,,,,,1004.08,1870.43,1818.59,3,135,,,,,263,508,1134,14.44,13.77,,,2.91,0.05,,
01/13/2014,NYPD (Non-CIP),Vehicle Accident,2637,2.89,184.39,,,,,1199.37,2551.76,2529.02,3,146,,,,,392,890,1811,22.54,16.92,,,3.03,0.05,,
01/06/2014,EMS,1. Life Threating Med Emergencies,7969,3.28,57.85,,,63.14,154.39,204.06,593.15,533.26,3,71,,,10.5,44,89.75,355.75,470,6.48,1.65,0.84,0.11,0.92,0.05,,
01/06/2014,EMS,2. Non-Life Threatening Med Emergencies,12276,3.33,68.39,,,74.18,127.59,335.67,882.56,793.63,3,79.5,,,10.5,45,100.5,481.5,635.5,9.11,3.47,0.36,0.12,1.09,0.06,,
01/06/2014,FDNY,1. Structural Fires,385,3.30,102.70,,,,,119.45,324.67,307.66,3,58,,,,,12,200,287,3.42,0.28,,,1.66,0.06,,
01/06/2014,FDNY,2. Non-Structural Fires,420,3.38,87.30,,,,,104.02,346.05,343.43,3,61,,,,,12,228,319,4.03,0.28,,,1.40,0.06,,
01/06/2014,FDNY,3. Medical Emergencies,2722,3.27,174.20,,,66.17,170.50,203.02,465.27,428.24,3,109,,,5,49,8,246,380,4.37,0.48,1.75,0.09,2.85,0.05,,
01/06/2014,FDNY,4. Non-Medical Emergencies,4571,3.36,137.23,,,,,157.78,512.61,501.26,3,79,,,,,15,295,422,5.91,0.34,,,2.23,0.06,,
01/06/2014,NYPD,1. Critical,970,3.26,138.98,,,,,245.45,444.97,430.41,3,88,,,,,79,138,346,3.33,1.77,,,2.26,0.05,,
01/06/2014,NYPD,2. Serious,1751,3.33,136.10,,,,,272.15,550.84,534.94,3,95,,,,,89,185,443,4.64,2.27,,,2.21,0.06,,
01/06/2014,NYPD,3. Non-Critical,1690,3.38,174.20,,,,,387.15,825.55,823.22,3,137,,,,,118.5,302,653,7.31,3.55,,,2.85,0.06,,
01/06/2014,NYPD (Non-CIP),Alarms,3050,3.30,140.72,,,,,788.52,1613.78,1613.78,3,103.5,,,,,266,532,1126.5,13.75,10.80,,,2.29,0.06,,
01/06/2014,NYPD (Non-CIP),Disorderly Person/Group/Noise,735,3.25,178.15,,,,,868.97,1470.35,1460.56,3,136,,,,,234,394,955,10.02,11.51,,,2.92,0.05,,
01/06/2014,NYPD (Non-CIP),Dispute,4945,3.28,180.90,,,,,1031.30,1867.03,1861.47,3,146,,,,,262,530,1214,13.93,14.17,,,2.96,0.05,,
01/06/2014,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,357,3.53,148.38,,,,,326.55,1562.11,661.86,3,93,,,,,76,741,377,20.59,2.97,,,2.41,0.06,,
01/06/2014,NYPD (Non-CIP),Other Crimes (In Progress),842,3.23,181.95,,,,,393.74,859.05,859.05,3,145.5,,,,,126,340,709,7.76,3.53,,,2.98,0.05,,
01/06/2014,NYPD (Non-CIP),Past Crime,2798,3.23,205.17,,,,,1241.53,2530.70,2498.57,3,166.5,,,,,353.5,774.5,1702.5,21.49,17.27,,,3.37,0.05,,
01/06/2014,NYPD (Non-CIP),Police Officer/Security Holding Suspect,176,3.33,124.07,,,,,456.76,1184.34,1171.62,3,102,,,,,129.5,460.5,900.5,12.13,5.54,,,2.01,0.06,,
01/06/2014,NYPD (Non-CIP),Possible Crimes,5453,3.29,176.88,,,,,994.05,1887.43,1821.63,3,133,,,,,265,551,1137,14.89,13.62,,,2.89,0.05,,
01/06/2014,NYPD (Non-CIP),Vehicle Accident,2720,3.10,183.13,,,,,1238.54,2595.57,2566.69,3,144,,,,,420,931.5,1939,22.62,17.59,,,3.00,0.05,,
12/30/2013,EMS,1. Life Threating Med Emergencies,7351,3.51,61.86,,,68.07,161.08,206.51,597.79,534.47,3,78,,,11.5,44,88.5,357.5,480,6.52,1.66,0.90,0.13,0.98,0.06,,
12/30/2013,EMS,2. Non-Life Threatening Med Emergencies,12218,3.51,74.11,,,80.85,123.15,363.91,887.51,810.58,3,84.5,,,11,45.75,100,455.5,633.5,8.73,4.04,0.25,0.14,1.18,0.06,,
12/30/2013,FDNY,1. Structural Fires,393,3.79,87.74,,,,,102.38,303.66,300.65,3,59,,,,,11,194,281,3.35,0.24,,,1.40,0.06,,
12/30/2013,FDNY,2. Non-Structural Fires,456,4.03,104.25,,,,,121.22,367.78,355.93,3,61.5,,,,,12.5,234,323,4.11,0.28,,,1.67,0.07,,
12/30/2013,FDNY,3. Medical Emergencies,2579,3.44,170.01,,,66.22,166.43,199.51,463.56,424.40,3,115,,,5,53,8,247,385,4.40,0.49,1.69,0.09,2.78,0.06,,
12/30/2013,FDNY,4. Non-Medical Emergencies,3279,3.58,136.60,,,,,158.36,478.20,462.83,3,79,,,,,14,279,402,5.33,0.36,,,2.22,0.06,,
12/30/2013,NYPD,1. Critical,1149,3.60,128.54,,,,,258.81,471.02,449.64,3,88,,,,,81,151,380,3.54,2.17,,,2.08,0.06,,
12/30/2013,NYPD,2. Serious,1930,3.55,138.64,,,,,307.35,576.62,557.14,3,95,,,,,94,193,445,4.49,2.81,,,2.25,0.06,,
12/30/2013,NYPD,3. Non-Critical,1742,3.59,175.21,,,,,480.82,939.94,935.30,3,137,,,,,117,313.5,680,7.65,5.09,,,2.86,0.06,,
12/30/2013,NYPD (Non-CIP),Alarms,2842,3.51,139.52,,,,,762.61,1644.24,1644.24,3,104,,,,,257.5,583,1158,14.69,10.38,,,2.27,0.06,,
12/30/2013,NYPD (Non-CIP),Disorderly Person/Group/Noise,776,3.60,177.28,,,,,857.08,1467.48,1457.12,3,144,,,,,226,404.5,982.5,10.17,11.33,,,2.89,0.06,,
12/30/2013,NYPD (Non-CIP),Dispute,5474,3.55,183.46,,,,,1094.63,1945.67,1937.32,3,145,,,,,241.5,525.5,1200,14.18,15.19,,,3.00,0.06,,
12/30/2013,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,288,3.67,131.07,,,,,352.37,1474.77,634.45,3,92,,,,,83.5,775,396,18.71,3.69,,,2.12,0.06,,
12/30/2013,NYPD (Non-CIP),Other Crimes (In Progress),943,3.80,180.17,,,,,513.81,1036.54,1025.82,3,147,,,,,118,365,736,8.71,5.56,,,2.94,0.06,,
12/30/2013,NYPD (Non-CIP),Past Crime,2614,3.42,216.00,,,,,1250.67,2497.56,2443.11,3,177,,,,,326.5,745,1609.5,20.78,17.24,,,3.54,0.06,,
12/30/2013,NYPD (Non-CIP),Police Officer/Security Holding Suspect,147,3.69,139.63,,,,,475.20,1173.62,1168.97,3,84,,,,,118,372,713,11.64,5.59,,,2.27,0.06,,
12/30/2013,NYPD (Non-CIP),Possible Crimes,5034,3.55,171.68,,,,,899.04,1761.76,1721.49,3,130,,,,,221,517.5,1095,14.38,12.12,,,2.80,0.06,,
12/30/2013,NYPD (Non-CIP),Vehicle Accident,2295,3.15,184.14,,,,,1131.97,2473.67,2449.52,3,148,,,,,327,898,1753,22.36,15.80,,,3.02,0.05,,
12/23/2013,EMS,1. Life Threating Med Emergencies,7163,3.37,57.02,,,62.01,158.51,194.46,556.06,496.66,3,71,,,11,41.5,83.5,331.5,442,6.03,1.51,0.92,0.11,0.90,0.06,,
12/23/2013,EMS,2. Non-Life Threatening Med Emergencies,10995,3.34,68.85,,,74.44,160.88,227.88,700.91,652.10,3,80,,,10.5,43.75,90,422.75,572.25,7.88,1.87,0.83,0.12,1.10,0.06,,
12/23/2013,FDNY,1. Structural Fires,351,3.19,76.40,,,,,88.36,283.22,280.43,3,57,,,,,10,188,268,3.25,0.20,,,1.22,0.05,,
12/23/2013,FDNY,2. Non-Structural Fires,246,3.77,105.10,,,,,119.37,368.75,362.76,3,67,,,,,11,235,331,4.16,0.24,,,1.69,0.06,,
12/23/2013,FDNY,3. Medical Emergencies,2678,3.36,135.82,,,65.43,132.93,156.76,410.81,379.50,3,108,,,5,48,7,241,360,4.23,0.35,1.13,0.09,2.21,0.06,,
12/23/2013,FDNY,4. Non-Medical Emergencies,2244,3.49,161.82,,,,,179.05,460.35,441.62,3,76.5,,,,,12,252,363,4.69,0.29,,,2.64,0.06,,
12/23/2013,NYPD,1. Critical,1131,3.53,125.77,,,,,248.79,446.21,436.10,3,87,,,,,77,145,355,3.29,2.05,,,2.04,0.06,,
12/23/2013,NYPD,2. Serious,2057,3.32,140.35,,,,,280.68,547.87,527.65,3,99,,,,,92,186,433,4.45,2.34,,,2.28,0.06,,
12/23/2013,NYPD,3. Non-Critical,1776,3.39,168.51,,,,,375.21,826.03,822.13,3,129,,,,,114.5,283.5,618.5,7.51,3.44,,,2.75,0.06,,
12/23/2013,NYPD (Non-CIP),Alarms,2712,3.34,138.96,,,,,818.06,1663.37,1661.39,3,105,,,,,252,523,1102.5,14.09,11.32,,,2.26,0.06,,
12/23/2013,NYPD (Non-CIP),Disorderly Person/Group/Noise,920,3.37,177.92,,,,,802.37,1371.69,1363.42,3,143,,,,,209.5,376,899.5,9.49,10.41,,,2.91,0.06,,
12/23/2013,NYPD (Non-CIP),Dispute,5492,3.40,180.74,,,,,1017.20,1844.92,1840.83,3,144,,,,,240,488,1160.5,13.80,13.94,,,2.96,0.06,,
12/23/2013,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,294,3.32,159.57,,,,,313.44,1529.75,710.61,3,111,,,,,74,708.5,408.5,20.27,2.56,,,2.60,0.06,,
12/23/2013,NYPD (Non-CIP),Other Crimes (In Progress),822,3.44,186.18,,,,,422.37,897.98,897.63,3,151.5,,,,,127.5,326,688,7.93,3.94,,,3.05,0.06,,
12/23/2013,NYPD (Non-CIP),Past Crime,2854,3.22,213.68,,,,,1312.78,2505.43,2468.73,3,171.5,,,,,328,728,1632.5,19.88,18.32,,,3.51,0.05,,
12/23/2013,NYPD (Non-CIP),Police Officer/Security Holding Suspect,212,3.37,126.57,,,,,515.87,1166.29,1165.72,3,88,,,,,154.5,331.5,718,10.84,6.49,,,2.05,0.06,,
12/23/2013,NYPD (Non-CIP),Possible Crimes,5315,3.37,172.07,,,,,920.82,1773.23,1729.94,3,128,,,,,246,497,1096,14.21,12.48,,,2.81,0.06,,
12/23/2013,NYPD (Non-CIP),Vehicle Accident,2408,3.10,183.13,,,,,1278.21,2534.98,2508.96,3,146,,,,,357.5,854.5,1768.5,20.95,18.25,,,3.00,0.05,,
12/16/2013,EMS,1. Life Threating Med Emergencies,7802,3.39,62.67,,,68.76,151.14,197.35,590.37,519.07,3,78,,,10,42,87,357,467.5,6.55,1.56,0.80,0.13,0.99,0.06,,
12/16/2013,EMS,2. Non-Life Threatening Med Emergencies,12466,3.35,75.29,,,82.12,139.47,325.94,883.81,790.15,3,84.5,,,10,45,100,481.5,653,9.30,3.37,0.49,0.14,1.21,0.06,,
12/16/2013,FDNY,1. Structural Fires,295,3.46,95.42,,,,,111.10,309.59,304.77,3,59,,,,,10,195,271,3.31,0.26,,,1.53,0.06,,
12/16/2013,FDNY,2. Non-Structural Fires,664,3.53,119.11,,,,,133.81,380.07,350.49,3,62,,,,,11,238,318.5,4.10,0.25,,,1.93,0.06,,
12/16/2013,FDNY,3. Medical Emergencies,3025,3.37,153.81,,,68.19,150.57,181.82,443.46,405.42,3,112,,,5,52,8,242,377,4.36,0.47,1.38,0.10,2.51,0.06,,
12/16/2013,FDNY,4. Non-Medical Emergencies,2364,3.54,153.56,,,,,171.17,465.96,433.45,3,76.5,,,,,12,255,369,4.91,0.29,,,2.50,0.06,,
12/16/2013,NYPD,1. Critical,1157,3.49,127.97,,,,,240.43,426.33,414.85,3,87,,,,,79,144,356,3.10,1.87,,,2.07,0.06,,
12/16/2013,NYPD,2. Serious,2009,3.47,139.24,,,,,293.83,567.03,546.11,3,96,,,,,100,187,446,4.55,2.58,,,2.26,0.06,,
12/16/2013,NYPD,3. Non-Critical,1999,3.43,170.59,,,,,419.96,885.83,881.31,3,132,,,,,127,305,669,7.76,4.16,,,2.79,0.06,,
12/16/2013,NYPD (Non-CIP),Alarms,2329,3.34,144.20,,,,,957.13,1852.43,1851.70,3,105,,,,,319,581,1229,14.92,13.55,,,2.35,0.06,,
12/16/2013,NYPD (Non-CIP),Disorderly Person/Group/Noise,981,3.30,184.04,,,,,1108.56,1768.61,1748.05,3,148,,,,,271,401,1075,11.00,15.41,,,3.01,0.06,,
12/16/2013,NYPD (Non-CIP),Dispute,4980,3.46,185.07,,,,,1279.09,2149.99,2139.75,3,148,,,,,331,513,1315,14.51,18.23,,,3.03,0.06,,
12/16/2013,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,288,3.48,142.81,,,,,382.70,1795.82,717.88,3,103,,,,,117,798,407,23.55,4.00,,,2.32,0.06,,
12/16/2013,NYPD (Non-CIP),Other Crimes (In Progress),1015,3.52,185.60,,,,,470.63,962.70,959.38,3,148,,,,,128,350,759,8.20,4.75,,,3.03,0.06,,
12/16/2013,NYPD (Non-CIP),Past Crime,3061,3.24,211.72,,,,,1588.26,2893.93,2847.92,3,174,,,,,485,794,1849,21.76,22.94,,,3.47,0.05,,
12/16/2013,NYPD (Non-CIP),Police Officer/Security Holding Suspect,197,3.38,122.72,,,,,479.15,1188.01,1182.36,3,90,,,,,183,469,836,11.81,5.94,,,1.99,0.06,,
12/16/2013,NYPD (Non-CIP),Possible Crimes,5289,3.46,176.36,,,,,1157.01,2015.13,1960.73,3,135,,,,,313,522,1253,14.30,16.34,,,2.88,0.06,,
12/16/2013,NYPD (Non-CIP),Vehicle Accident,3262,3.18,187.96,,,,,1585.47,2927.45,2899.23,3,147.5,,,,,583,907,2096.5,22.37,23.29,,,3.08,0.05,,
12/09/2013,EMS,1. Life Threating Med Emergencies,7047,3.13,54.80,,,59.53,147.48,188.94,573.60,510.27,3,66.5,,,11.5,41,85.5,352.25,448.5,6.41,1.54,0.86,0.10,0.87,0.05,,
12/09/2013,EMS,2. Non-Life Threatening Med Emergencies,11106,3.12,63.71,,,69.02,136.67,265.09,789.92,723.73,3,74.5,,,10.5,43.5,92.5,470,605.75,8.75,2.51,0.57,0.11,1.02,0.05,,
12/09/2013,FDNY,1. Structural Fires,387,3.02,82.86,,,,,98.21,304.14,299.86,3,59,,,,,11,199,275,3.43,0.26,,,1.33,0.05,,
12/09/2013,FDNY,2. Non-Structural Fires,334,3.06,72.22,,,,,86.69,327.32,324.79,3,58,,,,,10,226,302.5,4.01,0.24,,,1.15,0.05,,
12/09/2013,FDNY,3. Medical Emergencies,2592,3.10,146.75,,,64.95,143.59,176.06,441.00,406.52,3,105,,,5,47,8,248,373,4.42,0.49,1.31,0.09,2.39,0.05,,
12/09/2013,FDNY,4. Non-Medical Emergencies,2420,3.16,145.53,,,,,164.30,463.30,445.57,3,76,,,,,13,265,375,4.98,0.31,,,2.37,0.05,,
12/09/2013,NYPD,1. Critical,924,3.17,127.41,,,,,239.71,445.37,429.22,3,84,,,,,84,147,364.5,3.43,1.87,,,2.07,0.05,,
12/09/2013,NYPD,2. Serious,1664,3.11,138.99,,,,,282.77,541.83,523.26,3,95,,,,,89,187.5,431.5,4.32,2.40,,,2.26,0.05,,
12/09/2013,NYPD,3. Non-Critical,1612,3.15,174.35,,,,,411.72,863.10,859.81,3,133.5,,,,,117,313.5,657.5,7.52,3.96,,,2.85,0.05,,
12/09/2013,NYPD (Non-CIP),Alarms,2629,3.18,137.62,,,,,834.24,1680.07,1679.47,3,100,,,,,272,544,1112,14.10,11.61,,,2.24,0.05,,
12/09/2013,NYPD (Non-CIP),Disorderly Person/Group/Noise,763,3.12,180.19,,,,,906.89,1524.42,1518.95,3,146,,,,,236,401,995,10.29,12.11,,,2.95,0.05,,
12/09/2013,NYPD (Non-CIP),Dispute,4359,3.14,182.09,,,,,1068.05,1899.91,1887.63,3,142,,,,,265,529,1204,13.86,14.77,,,2.98,0.05,,
12/09/2013,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,248,3.19,119.53,,,,,323.29,1600.56,563.97,3,78,,,,,92.5,819.5,361,21.29,3.40,,,1.94,0.05,,
12/09/2013,NYPD (Non-CIP),Other Crimes (In Progress),752,3.17,191.09,,,,,426.95,900.47,898.80,3,150.5,,,,,127,352.5,737.5,7.89,3.93,,,3.13,0.05,,
12/09/2013,NYPD (Non-CIP),Past Crime,2556,2.96,208.99,,,,,1347.21,2633.78,2596.90,3,170,,,,,380,780,1809,21.44,18.97,,,3.43,0.05,,
12/09/2013,NYPD (Non-CIP),Police Officer/Security Holding Suspect,169,3.01,129.07,,,,,454.18,1217.71,1205.85,3,93,,,,,141,412,811,12.73,5.42,,,2.10,0.05,,
12/09/2013,NYPD (Non-CIP),Possible Crimes,4607,3.18,171.18,,,,,971.49,1831.23,1782.88,3,126,,,,,246,534,1126,14.33,13.34,,,2.80,0.05,,
12/09/2013,NYPD (Non-CIP),Vehicle Accident,2884,2.90,178.20,,,,,1317.76,2664.77,2641.48,3,138,,,,,418.5,925,1925,22.45,18.99,,,2.92,0.05,,
12/02/2013,EMS,1. Life Threating Med Emergencies,6421,3.26,55.73,,,61.19,143.73,189.22,562.52,495.58,3,67.5,,,12,41,86.5,345,432,6.22,1.59,0.84,0.11,0.88,0.05,,
12/02/2013,EMS,2. Non-Life Threatening Med Emergencies,9924,3.30,64.56,,,70.20,128.17,286.12,828.48,741.37,3,74,,,11,42.5,98,480,609,9.04,2.92,0.48,0.12,1.03,0.05,,
12/02/2013,FDNY,1. Structural Fires,287,3.08,96.69,,,,,109.89,312.31,309.56,3,56,,,,,10,195,269,3.37,0.22,,,1.56,0.05,,
12/02/2013,FDNY,2. Non-Structural Fires,142,3.28,79.59,,,,,93.18,343.70,338.66,3,51.5,,,,,10,230,303.5,4.18,0.23,,,1.27,0.05,,
12/02/2013,FDNY,3. Medical Emergencies,2464,3.28,138.82,,,66.10,135.87,160.95,419.93,388.14,3,107,,,5,44,8,244,368,4.32,0.37,1.18,0.09,2.26,0.05,,
12/02/2013,FDNY,4. Non-Medical Emergencies,1946,3.30,154.47,,,,,171.59,451.89,432.66,3,80,,,,,13,255,370,4.67,0.29,,,2.52,0.05,,
12/02/2013,NYPD,1. Critical,650,3.41,129.33,,,,,244.72,447.94,440.38,3,85,,,,,80,137,350.5,3.39,1.92,,,2.10,0.06,,
